2024-04-02 19:29:30.425 [info] Log level: Info
2024-04-02 19:29:30.425 [info] Validating found git in: "git"
2024-04-02 19:29:30.425 [info] Using git "2.44.0" from "git"
2024-04-02 19:29:30.425 [info] > git rev-parse --show-toplevel [6ms]
2024-04-02 19:29:30.457 [info] > git rev-parse --show-toplevel [32ms]
2024-04-02 19:29:30.466 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.492 [info] > git rev-parse --show-toplevel [23ms]
2024-04-02 19:29:30.500 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.512 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.518 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.522 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.526 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.529 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.533 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.536 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.539 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.542 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.546 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.549 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.552 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.556 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.559 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.563 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.570 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.573 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.576 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.579 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.583 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.586 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.591 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.595 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.599 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.602 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.606 [info] > git rev-parse --show-toplevel [2ms]
2024-04-02 19:29:30.610 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.612 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.615 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.618 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.621 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.624 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.627 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.630 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.633 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.635 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.638 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.642 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.646 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.650 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.657 [info] > git rev-parse --show-toplevel [5ms]
2024-04-02 19:29:30.661 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.664 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.667 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.670 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.673 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:29:30.676 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.679 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.682 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.685 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:29:30.688 [info] > git rev-parse --show-toplevel [0ms]
