2024-04-03 21:47:23.599 [info] Log level: Info
2024-04-03 21:47:23.599 [info] Validating found git in: "git"
2024-04-03 21:47:23.599 [info] Using git "2.44.0" from "git"
2024-04-03 21:47:23.599 [info] > git rev-parse --show-toplevel [31ms]
2024-04-03 21:47:23.611 [info] > git rev-parse --show-toplevel [7ms]
2024-04-03 21:47:23.619 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.624 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.629 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.632 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.636 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.639 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.643 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.646 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.650 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.655 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.661 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.665 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.670 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.673 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.677 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.681 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.684 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.713 [info] > git rev-parse --show-toplevel [26ms]
2024-04-03 21:47:23.730 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.734 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.738 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.742 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.746 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.749 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.753 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.760 [info] > git rev-parse --show-toplevel [3ms]
2024-04-03 21:47:23.766 [info] > git rev-parse --show-toplevel [3ms]
2024-04-03 21:47:23.773 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.776 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.779 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.783 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.786 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.789 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.792 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.796 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.799 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.803 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.806 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.810 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.813 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.816 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.820 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.823 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.826 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.829 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.832 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.837 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 21:47:23.841 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.845 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.848 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:47:23.852 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:47:23.855 [info] > git rev-parse --show-toplevel [0ms]
