2024-04-02 15:20:17.361 [info] Log level: Info
2024-04-02 15:20:17.361 [info] Validating found git in: "git"
2024-04-02 15:20:17.361 [info] Using git "2.44.0" from "git"
2024-04-02 15:20:17.361 [info] > git rev-parse --show-toplevel [2ms]
2024-04-02 15:20:17.361 [info] > git rev-parse --show-toplevel [3ms]
2024-04-02 15:20:17.371 [info] > git rev-parse --show-toplevel [6ms]
2024-04-02 15:20:17.375 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.378 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.382 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.387 [info] > git rev-parse --show-toplevel [3ms]
2024-04-02 15:20:17.391 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.394 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.397 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.399 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.402 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.405 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.408 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.411 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.413 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.416 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.419 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.424 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.427 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.431 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.435 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.438 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.442 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.445 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.448 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.451 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.454 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.457 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.460 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.463 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.466 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.469 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.472 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.475 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.477 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.480 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.483 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.486 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.489 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.492 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.494 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.499 [info] > git rev-parse --show-toplevel [2ms]
2024-04-02 15:20:17.503 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.505 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.508 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.511 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.514 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.517 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.520 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.522 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.525 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 15:20:17.528 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 15:20:17.531 [info] > git rev-parse --show-toplevel [1ms]
