2024-04-03 18:22:42.654 [info] Log level: Info
2024-04-03 18:22:42.654 [info] Validating found git in: "git"
2024-04-03 18:22:42.654 [info] Using git "2.44.0" from "git"
2024-04-03 18:22:42.654 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 18:22:42.654 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.657 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.660 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.664 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.667 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.671 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.711 [info] > git rev-parse --show-toplevel [7ms]
2024-04-03 18:22:42.745 [info] > git rev-parse --show-toplevel [6ms]
2024-04-03 18:22:42.749 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.753 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.756 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.758 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.762 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.765 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.769 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.772 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.776 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.780 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.783 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.786 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.789 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.792 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.797 [info] > git rev-parse --show-toplevel [3ms]
2024-04-03 18:22:42.800 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.803 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.806 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.812 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.816 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.819 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.822 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.826 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.829 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.832 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.835 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.839 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.842 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.846 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.848 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.851 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.854 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.857 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.860 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.863 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.866 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.870 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.872 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.875 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.878 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.881 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.884 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.887 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:22:42.892 [info] > git rev-parse --show-toplevel [3ms]
2024-04-03 18:22:42.895 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.898 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 18:22:42.901 [info] > git rev-parse --show-toplevel [0ms]
