2024-04-02 16:29:02.874 [info] Log level: Info
2024-04-02 16:29:02.874 [info] Validating found git in: "git"
2024-04-02 16:29:02.874 [info] Using git "2.44.0" from "git"
2024-04-02 16:29:02.874 [info] > git rev-parse --show-toplevel [5ms]
2024-04-02 16:29:02.874 [info] > git rev-parse --show-toplevel [26ms]
2024-04-02 16:29:02.882 [info] > git rev-parse --show-toplevel [3ms]
2024-04-02 16:29:02.890 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.895 [info] > git rev-parse --show-toplevel [2ms]
2024-04-02 16:29:02.899 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.902 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.906 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.910 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.912 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.916 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.918 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.922 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.925 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.928 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.931 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.934 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.938 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.941 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.944 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.948 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.952 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.955 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.961 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.964 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.967 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.973 [info] > git rev-parse --show-toplevel [3ms]
2024-04-02 16:29:02.977 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.981 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:02.984 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.987 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.990 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.993 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:02.996 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.000 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.003 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.006 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.009 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.013 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.016 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.018 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.022 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.027 [info] > git rev-parse --show-toplevel [3ms]
2024-04-02 16:29:03.031 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.035 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.038 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.040 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.043 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.046 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.050 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.052 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.055 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.059 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 16:29:03.062 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.065 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 16:29:03.068 [info] > git rev-parse --show-toplevel [0ms]
