2024-04-03 19:17:06.075 [info] Log level: Info
2024-04-03 19:17:06.075 [info] Validating found git in: "git"
2024-04-03 19:17:06.075 [info] Using git "2.44.0" from "git"
2024-04-03 19:17:06.075 [info] > git rev-parse --show-toplevel [3ms]
2024-04-03 19:17:06.105 [info] > git rev-parse --show-toplevel [27ms]
2024-04-03 19:17:06.111 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.115 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.119 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.122 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.125 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.128 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.131 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.134 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.137 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.140 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.143 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.146 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.150 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.153 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.156 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.159 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.162 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.165 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.168 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.171 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.173 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.175 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.178 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.181 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.184 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.188 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.191 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.193 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.196 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.199 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.201 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.206 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 19:17:06.209 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.212 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.215 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.218 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.221 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.223 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.226 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.229 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.231 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.234 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.237 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.239 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.242 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.245 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.248 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.251 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 19:17:06.254 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.256 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.259 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 19:17:06.262 [info] > git rev-parse --show-toplevel [1ms]
