2024-03-30 07:12:27.167 [info] Log level: Info
2024-03-30 07:12:27.167 [info] Validating found git in: "git"
2024-03-30 07:12:27.167 [info] Using git "2.44.0" from "git"
2024-03-30 07:12:27.167 [info] > git rev-parse --show-toplevel [25ms]
2024-03-30 07:12:27.176 [info] > git rev-parse --show-toplevel [6ms]
2024-03-30 07:12:27.185 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.189 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.193 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.196 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.200 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.203 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.206 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.210 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.213 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.217 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.220 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.224 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.227 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.230 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.233 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.236 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.239 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.241 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.244 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.247 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.250 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.253 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.255 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.258 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.261 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.264 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.267 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.270 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.273 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.275 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.278 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.281 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.284 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.287 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.290 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.293 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.296 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.299 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.304 [info] > git rev-parse --show-toplevel [2ms]
2024-03-30 07:12:27.310 [info] > git rev-parse --show-toplevel [3ms]
2024-03-30 07:12:27.313 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.316 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.319 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.322 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.325 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.329 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.332 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.335 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.338 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.341 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.344 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.347 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 07:12:27.349 [info] > git rev-parse --show-toplevel [0ms]
2024-03-30 07:12:27.352 [info] > git rev-parse --show-toplevel [1ms]
2024-03-30 20:13:49.115 [info] > git rev-parse --show-toplevel [2ms]
2024-03-30 20:37:11.335 [info] > git rev-parse --show-toplevel [3ms]
2024-03-30 20:37:11.335 [info] fatal: not a git repository (or any parent up to mount point /run/media/n30)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).
2024-03-30 22:03:02.599 [info] > git rev-parse --show-toplevel [2ms]
