2024-03-29 19:42:53.191 [info] Log level: Info
2024-03-29 19:42:53.191 [info] Validating found git in: "git"
2024-03-29 19:42:53.191 [info] Using git "2.44.0" from "git"
2024-03-29 19:42:53.191 [info] > git rev-parse --show-toplevel [67ms]
2024-03-29 19:42:53.202 [info] > git rev-parse --show-toplevel [11ms]
2024-03-29 19:42:53.217 [info] > git rev-parse --show-toplevel [2ms]
2024-03-29 19:42:53.225 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.231 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.237 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.244 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.252 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.258 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.264 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.323 [info] > git rev-parse --show-toplevel [33ms]
2024-03-29 19:42:53.332 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.340 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.357 [info] > git rev-parse --show-toplevel [10ms]
2024-03-29 19:42:53.368 [info] > git rev-parse --show-toplevel [4ms]
2024-03-29 19:42:53.375 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.382 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.389 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.394 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.399 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.405 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.411 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.417 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.424 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.431 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.440 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.447 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.454 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.460 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.467 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.474 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.479 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.485 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.491 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.497 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.504 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.510 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.516 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.522 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.528 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.533 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.539 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.545 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.551 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.556 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.561 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.566 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.571 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.577 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.583 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.588 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.594 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.601 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.607 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:42:53.612 [info] > git rev-parse --show-toplevel [0ms]
2024-03-29 19:42:53.618 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 19:43:05.795 [info] > git rev-parse --show-toplevel [2ms]
2024-03-29 19:43:05.802 [info] > git rev-parse --show-toplevel [1ms]
2024-03-29 22:56:30.374 [info] > git rev-parse --show-toplevel [3ms]
