2024-04-01 14:26:20.880 [info] Log level: Info
2024-04-01 14:26:20.880 [info] Validating found git in: "git"
2024-04-01 14:26:20.880 [info] Using git "2.44.0" from "git"
2024-04-01 14:26:20.880 [info] > git rev-parse --show-toplevel [34ms]
2024-04-01 14:26:20.890 [info] > git rev-parse --show-toplevel [10ms]
2024-04-01 14:26:20.894 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.899 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.903 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.907 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.913 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.917 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.922 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.926 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:20.931 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.938 [info] > git rev-parse --show-toplevel [3ms]
2024-04-01 14:26:20.943 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.947 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.951 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:20.955 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:20.959 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:20.968 [info] > git rev-parse --show-toplevel [5ms]
2024-04-01 14:26:21.012 [info] > git rev-parse --show-toplevel [40ms]
2024-04-01 14:26:21.038 [info] > git rev-parse --show-toplevel [4ms]
2024-04-01 14:26:21.045 [info] > git rev-parse --show-toplevel [3ms]
2024-04-01 14:26:21.050 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.055 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.059 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.063 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.069 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:26:21.073 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.078 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.083 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.087 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.091 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.094 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.098 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.101 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.106 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.109 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.114 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.120 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:26:21.127 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.131 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.135 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.140 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.144 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.147 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.151 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.155 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.158 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.162 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.165 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.169 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.172 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.175 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.178 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.182 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:26:21.185 [info] > git rev-parse --show-toplevel [0ms]
2024-04-01 14:26:21.189 [info] > git rev-parse --show-toplevel [1ms]
