2024-03-31 07:28:03.516 [info] Log level: Info
2024-03-31 07:28:03.516 [info] Validating found git in: "git"
2024-03-31 07:28:03.516 [info] Using git "2.44.0" from "git"
2024-03-31 07:28:03.516 [info] > git rev-parse --show-toplevel [9ms]
2024-03-31 07:28:03.524 [info] > git rev-parse --show-toplevel [7ms]
2024-03-31 07:28:03.540 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.546 [info] > git rev-parse --show-toplevel [2ms]
2024-03-31 07:28:03.551 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.555 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.560 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.564 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.568 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.572 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.576 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.599 [info] > git rev-parse --show-toplevel [19ms]
2024-03-31 07:28:03.628 [info] > git rev-parse --show-toplevel [13ms]
2024-03-31 07:28:03.632 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.636 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.640 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.644 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.648 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.651 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.655 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.660 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.666 [info] > git rev-parse --show-toplevel [3ms]
2024-03-31 07:28:03.670 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.674 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.680 [info] > git rev-parse --show-toplevel [2ms]
2024-03-31 07:28:03.687 [info] > git rev-parse --show-toplevel [3ms]
2024-03-31 07:28:03.691 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.695 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.699 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.702 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.705 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.709 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.712 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.716 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.719 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.724 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.727 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.731 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.734 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.737 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.741 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.744 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.747 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.751 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.754 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.758 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.762 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.765 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.769 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.773 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.777 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.780 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.783 [info] > git rev-parse --show-toplevel [0ms]
2024-03-31 07:28:03.787 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.790 [info] > git rev-parse --show-toplevel [1ms]
2024-03-31 07:28:03.793 [info] > git rev-parse --show-toplevel [0ms]
