2024-11-27 19:01:32.694 [info] Log level: Info
2024-11-27 19:01:32.694 [info] Validating found git in: "git"
2024-11-27 19:01:32.694 [info] Using git "2.44.0" from "git"
2024-11-27 19:01:32.694 [info] > git rev-parse --show-toplevel [38ms]
2024-11-27 19:01:32.698 [info] > git rev-parse --show-toplevel [5ms]
2024-11-27 19:01:32.702 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.707 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.712 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.717 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.723 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.727 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.732 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.736 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.741 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.746 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.806 [info] > git rev-parse --show-toplevel [29ms]
2024-11-27 19:01:32.811 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.815 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.819 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.823 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.826 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.829 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.834 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.838 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.844 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 19:01:32.849 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 19:01:32.854 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.858 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.862 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.866 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.870 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.874 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.877 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.880 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.884 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.888 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.892 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.896 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.900 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.903 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.907 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.911 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.914 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.920 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.924 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.928 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.931 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.934 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.938 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.941 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.944 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.947 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.950 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.953 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.956 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:01:32.960 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:01:32.963 [info] > git rev-parse --show-toplevel [0ms]
