2024-04-03 17:19:21.435 [info] Log level: Info
2024-04-03 17:19:21.435 [info] Validating found git in: "git"
2024-04-03 17:19:21.435 [info] Using git "2.44.0" from "git"
2024-04-03 17:19:21.435 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 17:19:21.436 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.439 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.442 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.474 [info] > git rev-parse --show-toplevel [30ms]
2024-04-03 17:19:21.479 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.486 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 17:19:21.490 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.493 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.497 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.501 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.505 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.512 [info] > git rev-parse --show-toplevel [3ms]
2024-04-03 17:19:21.546 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 17:19:21.555 [info] > git rev-parse --show-toplevel [6ms]
2024-04-03 17:19:21.560 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.564 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.567 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.570 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.574 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.577 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.581 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.585 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.589 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.592 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.598 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.601 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.604 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.607 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.611 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.614 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.617 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.620 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.623 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.625 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.628 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.631 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.634 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.637 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.640 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.643 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.645 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.648 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.651 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.654 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.657 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.659 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.662 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.665 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.668 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.671 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:19:21.673 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.676 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 17:19:21.679 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 17:52:08.238 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:15:19.764 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 18:16:14.694 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:16:21.065 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 18:17:43.870 [info] > git rev-parse --show-toplevel [1ms]
