2024-11-25 14:51:26.048 [info] Log level: Info
2024-11-25 14:51:26.048 [info] Validating found git in: "git"
2024-11-25 14:51:26.048 [info] Using git "2.44.0" from "git"
2024-11-25 14:51:26.048 [info] > git rev-parse --show-toplevel [3ms]
2024-11-25 14:51:26.050 [info] > git rev-parse --show-toplevel [3ms]
2024-11-25 14:51:26.061 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.067 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.073 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.077 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.082 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.086 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.089 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.093 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.097 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.102 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.108 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.146 [info] > git rev-parse --show-toplevel [32ms]
2024-11-25 14:51:26.164 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.169 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.173 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.178 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.182 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.186 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.189 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.193 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.199 [info] > git rev-parse --show-toplevel [3ms]
2024-11-25 14:51:26.203 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.207 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.213 [info] > git rev-parse --show-toplevel [3ms]
2024-11-25 14:51:26.217 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.224 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.229 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.233 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.238 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.242 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.247 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.253 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.259 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.265 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.270 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.273 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.277 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.282 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.287 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.290 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.293 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.297 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.300 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.303 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.306 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.310 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.313 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.316 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.320 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 14:51:26.323 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.326 [info] > git rev-parse --show-toplevel [0ms]
2024-11-25 14:51:26.330 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 15:29:38.222 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 15:29:52.835 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 15:29:54.937 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 15:29:56.517 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 15:29:57.626 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 15:30:07.363 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 15:30:11.020 [info] > git rev-parse --show-toplevel [1ms]
2024-11-25 19:10:26.038 [info] > git rev-parse --show-toplevel [1ms]
