2024-04-03 21:31:04.429 [info] Log level: Info
2024-04-03 21:31:04.429 [info] Validating found git in: "git"
2024-04-03 21:31:04.429 [info] Using git "2.44.0" from "git"
2024-04-03 21:31:04.429 [info] > git rev-parse --show-toplevel [51ms]
2024-04-03 21:31:04.429 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.433 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.459 [info] > git rev-parse --show-toplevel [23ms]
2024-04-03 21:31:04.478 [info] > git rev-parse --show-toplevel [12ms]
2024-04-03 21:31:04.485 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.496 [info] > git rev-parse --show-toplevel [4ms]
2024-04-03 21:31:04.504 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 21:31:04.511 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.517 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 21:31:04.522 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.526 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.530 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.535 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.583 [info] > git rev-parse --show-toplevel [27ms]
2024-04-03 21:31:04.589 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.595 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.600 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.605 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.610 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.618 [info] > git rev-parse --show-toplevel [5ms]
2024-04-03 21:31:04.627 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 21:31:04.634 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.641 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.647 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.653 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.660 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.665 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.671 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.675 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.680 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.684 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.690 [info] > git rev-parse --show-toplevel [2ms]
2024-04-03 21:31:04.696 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.699 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.703 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.706 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.710 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.714 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.717 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.721 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.725 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.729 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.733 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.736 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.739 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.743 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.747 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.752 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.756 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.760 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.763 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.767 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.770 [info] > git rev-parse --show-toplevel [1ms]
2024-04-03 21:31:04.773 [info] > git rev-parse --show-toplevel [0ms]
2024-04-03 21:31:04.777 [info] > git rev-parse --show-toplevel [0ms]
